Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.6518, 'learning_rate': 0.0008802588996763754, 'epoch': 0.48}
{'loss': 1.4137, 'learning_rate': 0.0008797195253505933, 'epoch': 0.48}
{'loss': 1.3374, 'learning_rate': 0.0008791801510248112, 'epoch': 0.48}
{'loss': 1.3586, 'learning_rate': 0.0008786407766990292, 'epoch': 0.49}
{'loss': 1.5185, 'learning_rate': 0.0008781014023732471, 'epoch': 0.49}
{'loss': 1.3184, 'learning_rate': 0.000877562028047465, 'epoch': 0.49}
{'loss': 1.5566, 'learning_rate': 0.0008770226537216829, 'epoch': 0.49}
{'loss': 1.662, 'learning_rate': 0.0008764832793959008, 'epoch': 0.49}
{'loss': 1.5426, 'learning_rate': 0.0008759439050701187, 'epoch': 0.5}
{'loss': 1.4763, 'learning_rate': 0.0008754045307443366, 'epoch': 0.5}
{'loss': 1.477, 'learning_rate': 0.0008748651564185545, 'epoch': 0.5}
{'loss': 1.3844, 'learning_rate': 0.0008743257820927724, 'epoch': 0.5}
{'loss': 1.6264, 'learning_rate': 0.0008737864077669903, 'epoch': 0.5}
{'loss': 1.4145, 'learning_rate': 0.0008732470334412083, 'epoch': 0.51}
{'loss': 1.4167, 'learning_rate': 0.0008727076591154261, 'epoch': 0.51}
{'loss': 1.5755, 'learning_rate': 0.000872168284789644, 'epoch': 0.51}
{'loss': 1.4833, 'learning_rate': 0.0008716289104638619, 'epoch': 0.51}
{'loss': 1.5883, 'learning_rate': 0.0008710895361380798, 'epoch': 0.52}
{'loss': 1.4034, 'learning_rate': 0.0008705501618122977, 'epoch': 0.52}
{'loss': 1.4191, 'learning_rate': 0.0008700107874865156, 'epoch': 0.52}
{'loss': 1.6761, 'learning_rate': 0.0008694714131607335, 'epoch': 0.52}
{'loss': 1.4452, 'learning_rate': 0.0008689320388349514, 'epoch': 0.52}
{'loss': 1.3302, 'learning_rate': 0.0008683926645091694, 'epoch': 0.53}
{'loss': 1.5647, 'learning_rate': 0.0008678532901833873, 'epoch': 0.53}
{'loss': 1.6018, 'learning_rate': 0.0008673139158576052, 'epoch': 0.53}
{'loss': 1.4735, 'learning_rate': 0.0008667745415318231, 'epoch': 0.53}
{'loss': 1.4445, 'learning_rate': 0.000866235167206041, 'epoch': 0.54}
{'loss': 1.3649, 'learning_rate': 0.0008656957928802589, 'epoch': 0.54}
{'loss': 1.5525, 'learning_rate': 0.0008651564185544768, 'epoch': 0.54}
{'loss': 1.5981, 'learning_rate': 0.0008646170442286947, 'epoch': 0.54}
{'loss': 1.4765, 'learning_rate': 0.0008640776699029125, 'epoch': 0.54}
{'loss': 1.4458, 'learning_rate': 0.0008635382955771305, 'epoch': 0.55}
{'loss': 1.38, 'learning_rate': 0.0008629989212513484, 'epoch': 0.55}
{'loss': 1.668, 'learning_rate': 0.0008624595469255663, 'epoch': 0.55}
{'loss': 1.7518, 'learning_rate': 0.0008619201725997843, 'epoch': 0.55}
{'loss': 1.3373, 'learning_rate': 0.0008613807982740022, 'epoch': 0.55}
{'loss': 1.4133, 'learning_rate': 0.0008608414239482201, 'epoch': 0.56}
{'loss': 1.5186, 'learning_rate': 0.000860302049622438, 'epoch': 0.56}
{'loss': 1.5385, 'learning_rate': 0.0008597626752966559, 'epoch': 0.56}
{'loss': 1.5614, 'learning_rate': 0.0008592233009708738, 'epoch': 0.56}
{'loss': 1.3197, 'learning_rate': 0.0008586839266450918, 'epoch': 0.57}
{'loss': 1.2739, 'learning_rate': 0.0008581445523193097, 'epoch': 0.57}
{'loss': 1.6143, 'learning_rate': 0.0008576051779935276, 'epoch': 0.57}
{'loss': 1.6237, 'learning_rate': 0.0008570658036677455, 'epoch': 0.57}
{'loss': 1.4126, 'learning_rate': 0.0008565264293419634, 'epoch': 0.57}
{'loss': 1.5263, 'learning_rate': 0.0008559870550161813, 'epoch': 0.58}
{'loss': 1.6302, 'learning_rate': 0.0008554476806903992, 'epoch': 0.58}
{'loss': 1.5477, 'learning_rate': 0.000854908306364617, 'epoch': 0.58}
{'loss': 1.4396, 'learning_rate': 0.0008543689320388349, 'epoch': 0.58}
{'loss': 1.4032, 'learning_rate': 0.0008538295577130529, 'epoch': 0.58}
{'loss': 1.3845, 'learning_rate': 0.0008532901833872708, 'epoch': 0.59}
{'loss': 1.5903, 'learning_rate': 0.0008527508090614887, 'epoch': 0.59}
{'loss': 1.7555, 'learning_rate': 0.0008522114347357066, 'epoch': 0.59}
{'loss': 1.7407, 'learning_rate': 0.0008516720604099245, 'epoch': 0.59}
{'loss': 1.6174, 'learning_rate': 0.0008511326860841424, 'epoch': 0.6}
{'loss': 1.4499, 'learning_rate': 0.0008505933117583603, 'epoch': 0.6}
{'loss': 1.5143, 'learning_rate': 0.0008500539374325782, 'epoch': 0.6}
{'loss': 1.6613, 'learning_rate': 0.0008495145631067961, 'epoch': 0.6}
{'loss': 1.5797, 'learning_rate': 0.0008489751887810141, 'epoch': 0.6}
{'loss': 1.428, 'learning_rate': 0.000848435814455232, 'epoch': 0.61}
{'loss': 1.6271, 'learning_rate': 0.0008478964401294499, 'epoch': 0.61}
{'loss': 1.5059, 'learning_rate': 0.0008473570658036678, 'epoch': 0.61}
{'loss': 1.5633, 'learning_rate': 0.0008468176914778857, 'epoch': 0.61}
{'loss': 1.5764, 'learning_rate': 0.0008462783171521035, 'epoch': 0.61}
{'loss': 1.6272, 'learning_rate': 0.0008457389428263214, 'epoch': 0.62}
{'loss': 1.6237, 'learning_rate': 0.0008451995685005393, 'epoch': 0.62}
{'loss': 1.3692, 'learning_rate': 0.0008446601941747572, 'epoch': 0.62}
{'loss': 1.5255, 'learning_rate': 0.0008441208198489751, 'epoch': 0.62}
{'loss': 1.6922, 'learning_rate': 0.0008435814455231931, 'epoch': 0.63}
{'loss': 1.497, 'learning_rate': 0.000843042071197411, 'epoch': 0.63}
{'loss': 1.5151, 'learning_rate': 0.0008425026968716289, 'epoch': 0.63}
{'loss': 1.4324, 'learning_rate': 0.0008419633225458468, 'epoch': 0.63}
{'loss': 1.538, 'learning_rate': 0.0008414239482200647, 'epoch': 0.63}
{'loss': 1.306, 'learning_rate': 0.0008408845738942826, 'epoch': 0.64}
{'loss': 1.8357, 'learning_rate': 0.0008403451995685006, 'epoch': 0.64}
{'loss': 1.3994, 'learning_rate': 0.0008398058252427185, 'epoch': 0.64}
{'loss': 1.5968, 'learning_rate': 0.0008392664509169364, 'epoch': 0.64}
{'loss': 1.4068, 'learning_rate': 0.0008387270765911544, 'epoch': 0.65}
{'loss': 1.6895, 'learning_rate': 0.0008381877022653723, 'epoch': 0.65}
{'loss': 1.7238, 'learning_rate': 0.0008376483279395901, 'epoch': 0.65}
{'loss': 1.5236, 'learning_rate': 0.000837108953613808, 'epoch': 0.65}
{'loss': 1.4179, 'learning_rate': 0.0008365695792880259, 'epoch': 0.65}
{'loss': 1.4934, 'learning_rate': 0.0008360302049622438, 'epoch': 0.66}
{'loss': 1.3393, 'learning_rate': 0.0008354908306364617, 'epoch': 0.66}
{'loss': 1.444, 'learning_rate': 0.0008349514563106796, 'epoch': 0.66}
{'loss': 1.6201, 'learning_rate': 0.0008344120819848975, 'epoch': 0.66}
{'loss': 1.2279, 'learning_rate': 0.0008338727076591155, 'epoch': 0.66}
{'loss': 1.3582, 'learning_rate': 0.0008333333333333334, 'epoch': 0.67}
{'loss': 1.5798, 'learning_rate': 0.0008327939590075513, 'epoch': 0.67}
{'loss': 1.6384, 'learning_rate': 0.0008322545846817692, 'epoch': 0.67}
{'loss': 1.3354, 'learning_rate': 0.0008317152103559871, 'epoch': 0.67}
{'loss': 1.216, 'learning_rate': 0.000831175836030205, 'epoch': 0.68}
{'loss': 1.5174, 'learning_rate': 0.0008306364617044229, 'epoch': 0.68}
{'loss': 1.294, 'learning_rate': 0.0008300970873786408, 'epoch': 0.68}
{'loss': 1.5838, 'learning_rate': 0.0008295577130528587, 'epoch': 0.68}
{'loss': 1.4785, 'learning_rate': 0.0008290183387270767, 'epoch': 0.68}
{'loss': 1.5431, 'learning_rate': 0.0008284789644012945, 'epoch': 0.69}
{'loss': 1.4723, 'learning_rate': 0.0008279395900755124, 'epoch': 0.69}
{'loss': 1.4882, 'learning_rate': 0.0008274002157497303, 'epoch': 0.69}
{'loss': 1.4383, 'learning_rate': 0.0008268608414239482, 'epoch': 0.69}
{'loss': 1.3508, 'learning_rate': 0.0008263214670981661, 'epoch': 0.69}
{'loss': 1.2863, 'learning_rate': 0.000825782092772384, 'epoch': 0.7}
{'loss': 1.5419, 'learning_rate': 0.0008252427184466019, 'epoch': 0.7}
{'loss': 1.2763, 'learning_rate': 0.0008247033441208198, 'epoch': 0.7}
{'loss': 1.5918, 'learning_rate': 0.0008241639697950378, 'epoch': 0.7}
{'loss': 1.3338, 'learning_rate': 0.0008236245954692557, 'epoch': 0.71}
{'loss': 1.3732, 'learning_rate': 0.0008230852211434736, 'epoch': 0.71}
{'loss': 1.4838, 'learning_rate': 0.0008225458468176915, 'epoch': 0.71}
{'loss': 1.5244, 'learning_rate': 0.0008220064724919094, 'epoch': 0.71}
{'loss': 1.5678, 'learning_rate': 0.0008214670981661273, 'epoch': 0.71}
